geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Honolulu,driving,NA,Hawaii,United States,2020-01-13,100
city,Honolulu,driving,NA,Hawaii,United States,2020-01-14,101.54
city,Honolulu,driving,NA,Hawaii,United States,2020-01-15,109.14
city,Honolulu,driving,NA,Hawaii,United States,2020-01-16,107.09
city,Honolulu,driving,NA,Hawaii,United States,2020-01-17,120.63
city,Honolulu,driving,NA,Hawaii,United States,2020-01-18,114.9
city,Honolulu,driving,NA,Hawaii,United States,2020-01-19,93.59
city,Honolulu,driving,NA,Hawaii,United States,2020-01-20,94.33
city,Honolulu,driving,NA,Hawaii,United States,2020-01-21,102.37
city,Honolulu,driving,NA,Hawaii,United States,2020-01-22,101.57
city,Honolulu,driving,NA,Hawaii,United States,2020-01-23,106.28
city,Honolulu,driving,NA,Hawaii,United States,2020-01-24,112.36
city,Honolulu,driving,NA,Hawaii,United States,2020-01-25,107.16
city,Honolulu,driving,NA,Hawaii,United States,2020-01-26,83.86
city,Honolulu,driving,NA,Hawaii,United States,2020-01-27,95.7
city,Honolulu,driving,NA,Hawaii,United States,2020-01-28,99.22
city,Honolulu,driving,NA,Hawaii,United States,2020-01-29,97.2
city,Honolulu,driving,NA,Hawaii,United States,2020-01-30,107.3
city,Honolulu,driving,NA,Hawaii,United States,2020-01-31,112.81
city,Honolulu,driving,NA,Hawaii,United States,2020-02-01,106.89
city,Honolulu,driving,NA,Hawaii,United States,2020-02-02,77.61
city,Honolulu,driving,NA,Hawaii,United States,2020-02-03,93.62
city,Honolulu,driving,NA,Hawaii,United States,2020-02-04,96.7
city,Honolulu,driving,NA,Hawaii,United States,2020-02-05,99.54
city,Honolulu,driving,NA,Hawaii,United States,2020-02-06,100.77
city,Honolulu,driving,NA,Hawaii,United States,2020-02-07,108.7
city,Honolulu,driving,NA,Hawaii,United States,2020-02-08,108.97
city,Honolulu,driving,NA,Hawaii,United States,2020-02-09,87.26
city,Honolulu,driving,NA,Hawaii,United States,2020-02-10,109.44
city,Honolulu,driving,NA,Hawaii,United States,2020-02-11,99.32
city,Honolulu,driving,NA,Hawaii,United States,2020-02-12,103.48
city,Honolulu,driving,NA,Hawaii,United States,2020-02-13,108.76
city,Honolulu,driving,NA,Hawaii,United States,2020-02-14,132.73
city,Honolulu,driving,NA,Hawaii,United States,2020-02-15,113.92
city,Honolulu,driving,NA,Hawaii,United States,2020-02-16,98.14
city,Honolulu,driving,NA,Hawaii,United States,2020-02-17,98.38
city,Honolulu,driving,NA,Hawaii,United States,2020-02-18,104.01
city,Honolulu,driving,NA,Hawaii,United States,2020-02-19,107.22
city,Honolulu,driving,NA,Hawaii,United States,2020-02-20,105.49
city,Honolulu,driving,NA,Hawaii,United States,2020-02-21,122.01
city,Honolulu,driving,NA,Hawaii,United States,2020-02-22,116.24
city,Honolulu,driving,NA,Hawaii,United States,2020-02-23,92.59
city,Honolulu,driving,NA,Hawaii,United States,2020-02-24,102.99
city,Honolulu,driving,NA,Hawaii,United States,2020-02-25,104.67
city,Honolulu,driving,NA,Hawaii,United States,2020-02-26,105.84
city,Honolulu,driving,NA,Hawaii,United States,2020-02-27,108.05
city,Honolulu,driving,NA,Hawaii,United States,2020-02-28,120.04
city,Honolulu,driving,NA,Hawaii,United States,2020-02-29,113.5
city,Honolulu,driving,NA,Hawaii,United States,2020-03-01,90.55
